,Age,Gender,Income Quintile,Race and Ethnicity,Region,Affinity,Familiarity,Previously Purchased,Channel: WXP,Channel: RCQ,Channel: MegaNews,Channel: The Springfield Times,Channel: The Springfield Journal,Channel: The Springfield Post,Channel: The Franklin Burgher,Channel: GolfMAX,Channel: Sloth Magazine,Channel: GlitzNGlam,Channel: Cooking with Kevin,Channel: The Coffee Channel
0,25-54,Female,3,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
1,15-24,Male,5,Black,West,Neutral,Somewhat familiar,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No
2,15-24,Male,5,Black,Northeast,Neutral,Very familiar,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
3,25-54,Female,5,Other,Northeast,Dislike,Somewhat familiar,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
4,65+,Male,1,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
5,25-54,Female,2,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No
6,65+,Male,1,Asian,West,Neutral,Very familiar,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
7,15-24,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
8,25-54,Male,5,Hispanic,Northeast,Strongly dislike,Very familiar,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
9,25-54,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No
10,25-54,Male,5,Non-Hispanic White,South,Like,Somewhat familiar,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
11,15-24,Female,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes
12,15-24,Female,1,Black,West,Neutral,Unfamiliar,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No
13,25-54,Female,3,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No
14,55-64,Female,4,Hispanic,Northeast,Strongly dislike,Somewhat familiar,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
