Country Name,Country Code,Population,GDP
Aruba,ABW,105845,0
Afghanistan,AFG,37172386,19362969582
Angola,AGO,30809762,1.05751E+11
Albania,ALB,2866376,15102500898
Andorra,AND,77006,3236543909
United Arab Emirates,ARE,9630959,4.14179E+11
Argentina,ARG,44494502,5.19872E+11
Armenia,ARM,2951776,12433089919
American Samoa,ASM,55465,636000000
Antigua and Barbuda,ATG,96286,1610574074
Australia,AUS,24992369,1.4339E+12
Austria,AUT,8847037,4.55286E+11
Azerbaijan,AZE,9942334,46939529412
Burundi,BDI,11175378,3036931818
Belgium,BEL,11422068,5.42761E+11
Benin,BEN,11485048,10354274635
Burkina Faso,BFA,19751535,14124775069
Bangladesh,BGD,161356039,2.74025E+11
Bulgaria,BGR,7024216,65132951116
Bahrain,BHR,1569439,37746196809
"Bahamas, The",BHS,385640,12424500000
Bosnia and Herzegovina,BIH,3323929,20161865419
Belarus,BLR,9485386,59662495092
Belize,BLZ,383071,1871203164
Bermuda,BMU,63968,0
Bolivia,BOL,11353142,40287647757
Brazil,BRA,209469333,1.86863E+12
Barbados,BRB,286641,5145000000
Brunei Darussalam,BRN,428962,13567351175
Bhutan,BTN,754394,2534965163
Botswana,BWA,2254126,18616018903
Central African Republic,CAF,4666377,2219894702
Canada,CAN,37058856,1.71334E+12
Switzerland,CHE,8516543,7.0514E+11
Channel Islands,CHI,170499,0
Chile,CHL,18729160,2.98231E+11
China,CHN,1392730000,1.36082E+13
Cote d'Ivoire,CIV,25069229,43007047822
Cameroon,CMR,25216237,38675205293
"Congo, Dem. Rep.",COD,84068091,47227535291
"Congo, Rep.",COG,5244363,11263682694
Colombia,COL,49648685,3.31047E+11
Comoros,COM,832322,1177955049
Cabo Verde,CPV,543767,1976814277
Costa Rica,CRI,4999441,60130106116
Cuba,CUB,11338138,1.00023E+11
Curacao,CUW,159849,3127908038
Cayman Islands,CYM,64174,0
Cyprus,CYP,1189265,24961988663
Czech Republic,CZE,10625695,2.45226E+11
Germany,DEU,82927922,3.94762E+12
Djibouti,DJI,958920,2955912228
Dominica,DMA,71625,550892592.6
Denmark,DNK,5797446,3.55675E+11
Dominican Republic,DOM,10627165,85555390387
Algeria,DZA,42228429,1.73758E+11
Ecuador,ECU,17084357,1.08398E+11
"Egypt, Arab Rep.",EGY,98423595,2.50895E+11
Spain,ESP,46723749,1.41904E+12
Estonia,EST,1320884,30732144529
Ethiopia,ETH,109224559,84355604753
Finland,FIN,5518050,2.76743E+11
Fiji,FJI,883483,5536759659
France,FRA,66987244,2.77754E+12
Faroe Islands,FRO,48497,0
"Micronesia, Fed. Sts.",FSM,112640,401932279
Gabon,GAB,2119275,16853589311
United Kingdom,GBR,66488991,2.8553E+12
Georgia,GEO,3731000,17599660629
Ghana,GHA,29767108,65556464048
Gibraltar,GIB,33718,0
Guinea,GIN,12414318,10907214994
"Gambia, The",GMB,2280102,1632823199
Guinea-Bissau,GNB,1874309,1458156026
Equatorial Guinea,GNQ,1308974,13432377050
Greece,GRC,10727668,2.18032E+11
Grenada,GRD,111454,1185925926
Greenland,GRL,56025,0
Guatemala,GTM,17247807,78460447920
Guam,GUM,165768,5920000000
Guyana,GUY,779004,3878662621
Honduras,HND,9587522,23969890431
Croatia,HRV,4089400,60971699315
Haiti,HTI,11123176,9658721169
Hungary,HUN,9768785,1.57883E+11
Indonesia,IDN,267663435,1.04217E+12
Isle of Man,IMN,84077,0
India,IND,1352617328,2.71873E+12
Ireland,IRL,4853506,3.82487E+11
"Iran, Islamic Rep.",IRN,81800269,0
Iraq,IRQ,38433600,2.24228E+11
Iceland,ISL,353574,25878475760
Israel,ISR,8883800,3.70588E+11
Italy,ITA,60431283,2.08386E+12
Jamaica,JAM,2934855,15713908816
Jordan,JOR,9956011,42231295775
Japan,JPN,126529100,4.97132E+12
Kazakhstan,KAZ,18276499,1.7934E+11
Kenya,KEN,51393010,87908262520
Kyrgyz Republic,KGZ,6315800,8092836609
Cambodia,KHM,16249798,24542474061
Kiribati,KIR,115847,188284518.8
St. Kitts and Nevis,KNA,52441,1010822222
"Korea, Rep.",KOR,51635256,1.61942E+12
Kuwait,KWT,4137309,1.40645E+11
Lao PDR,LAO,7061507,17953786416
Lebanon,LBN,6848925,56639155556
Liberia,LBR,4818977,3264000000
Libya,LBY,6678567,48364208571
St. Lucia,LCA,181889,1921848222
Liechtenstein,LIE,37910,0
